mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq,B_unique_DeltaW,DeltaW_compression_rate
209,frob2+out_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
210,rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
211,frob2+rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
212,stable_rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
213,frob2+stable_rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
214,rank+stable_rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
215,frob2+rank+stable_rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
216,singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
217,frob2+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
218,rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
219,frob2+rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
220,stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
221,frob2+stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
222,rank+stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
223,frob2+rank+stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0,2562,0.0
224,in_strength_distribution+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
225,frob2+in_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
226,rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
227,frob2+rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
228,stable_rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
229,frob2+stable_rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
230,rank+stable_rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
231,frob2+rank+stable_rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
232,singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
233,frob2+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
234,rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
235,frob2+rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
236,stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
237,frob2+stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
238,rank+stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
239,frob2+rank+stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0,2562,0.0
240,out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
241,frob2+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
242,rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
243,frob2+rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
244,stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
